Title,Abstract,Authors,identifierKeywords,Database,Selection,Selection criteria violation,Flagged to read later
"Celestial calendar-paintings and culture-based digital storytelling: cross-cultural, interdisciplinary, STEM/STEAM resources for authentic astronomy education engagement","In D(L)akota star knowledge, the Sun is known as Wi and the Moon is Han-Wi . They have an important relationship, husband and wife. The pattern of their ever-changing relationship is mirrored in the motions of Sun and Moon as seen from our backyards, also called the lunar phases. The framework of the cultural teaching is storytelling and relationships. Cultural perspectives in astronomy such as this remind us of how indigenous ways of knowing are rooted in inclusion, engagement, and relevancy. Designed by A. Lee in 2007, the Native Skywatchers initiative seeks to remember and revitalize indigenous star and earth knowledge, promoting the native voice as the lead voice. The overarching goal of Native Skywatchers is to communicate the knowledge that indigenous people traditionally practiced a sustainable way of living and sustainable engineering through a living and participatory relationship with the above and below, sky and earth. In 2012 two indigenous star maps were created: the Ojibwe Giizhig Anung Masinaaigan -Ojibwe Sky Star Map (A. Lee, W. Wilson, C. Gawboy), and the D(L)akota star map, Makoce Wicanhpi Wowapi (A. Lee, J. Rock). In 2016, a collaboration with W. Buck of the Manitoba First Nations Resource Centre (MFNRC), produced a third star map: Ininew Achakos Masinikan - Cree Star Map Book. We aim to improve current inequities in education for native young people especially through STEM engagement, to inspire increased cultural pride, and promote community wellness. Presented here will be recently created resources such as: astronomical calendar-paintings and short videos that exist at the intersection of art-science-culture. As we look for sustainable ways to widen participation in STEM, particularly in astronomy education, part of the conversation needs to consider the place for art and culture in STEM.","Lee, Annette S;Wilson, William;Tibbetts, Jeff;Gawboy, Cark;Meyer, Anne;Buck, Wilfred;Knutson-Kolodzne, Jim;Pantalony, David",,Publicly Available Content Database,No,4. Duplication,
Construction of an amusement park using STEAM and LEGO education to participate in the science fair,"This article explains details of the participation in the Science Fair that took place in the 2019 school year by some seventh-grade students from “Colegio Isidro Caballero Delgado”, Floridablanca, Colombia. This event is a space established by the institution, which takes place once a year to show different projects and experiments carried out by students from each of the school grades. The seventh-grade students for their participation took as their theme an Amusement Park; with this theme, they built different prototypes that resemble mechanical attractions using LEGO Education cards and applying STEAM. The aim is to explain different themes seen in the mathematics course during the year playfully and amusingly to the participating public through the operation of each of these prototypes and physics topics in its structure or operation. The structure of the document contains a first section, the introduction in which the context of the educational institution, the development of the science fair, and the use of LEGO Education cards for the 2019 version are addressed; a section II where the methodology and the applied strategy are detailed; in section III the results obtained are mentioned, and finally, in section IV the conclusions and possible recommendations are presented.","Rico-Bautista, N A;Rico-Bautista, D W;Arévalo-Pérez, N",,Publicly Available Content Database,No,1. Space related,
Creating a Space for STEAM,"This study investigated seven elementary teachers as they participated in professional learning communities, co-taught, and delivered STEAM instruction to students in a rural elementary school. This multiple case study analysis highlights teacher comfort in their current placement and their capacity to implement a new curriculum. The information shared in this study explores how these teachers navigated the implementation and described their experiences. One lesson learned from this study is the difference between teacher comfort and teacher confidence. Teacher comfort comes from a place of familiarity and while positive in nature can create a teacher efficacy facade. Teacher confidence needs to be fostered for a growth mindset to lend toward true teacher efficacy. There are implications learned through this analysis for classroom teachers, teachers of STEM and administrators. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","Pollard, Felicia Brown",Elementary Education,ERIC,No,2. STEAM educational project,
Development and Experimental Validation of a Thermoelectric Test Bench for Laboratory Lessons,"The refrigeration process reduces the temperature of a space or a given volume while the power generation process employs a source of thermal energy to generate electrical power. Because of the importance of these two processes, training of engineers in this area is of great interest. In engineering courses it is normally studied the vapor compression and absorption refrigeration, and power generation systems such as gas turbine and steam turbine. Another type of cooling and generation less studied within the engineering curriculum, having a great interest, it is cooling and thermal generation based on Peltier and Seebeck effects. The theoretical concepts are useful, but students have difficulties understanding the physical meaning of their possible applications. Providing students with tools to test and apply the theory in real applications, will lead to a better understanding of the subject. Engineers must have strong theoretical, computational and also experimental skills. A prototype test bench has been built and experimentally validated to perform practical lessons of thermoelectric generation and refrigeration. Using this prototype students learn the most effective way of cooling systems and thermal power generation as well as basic concepts associated with thermoelectricity. It has been proven that students learn the process of data acquisition, and the technology used in thermoelectric devices. These practical lessons are implemented for a 60 people group of students in the development of subject of Thermodynamic including in the Degree in Engineering in Industrial Technologies of Public University of Navarra.","Rodríguez García, Antonio;Astrain Ulibarrena, David;Martínez Echeverri, Álvaro;Aranguren Garacochea, Patricia;Pérez Artieda, Gurutze",Spain,ERIC,No,4. Duplication,
Development of Spatial Abilities of Preadolescents: What Works?,"Creation in space and perception of spatial relations are important workplace skills that can be successfully developed in public education through the cooperation of art education, mathematics, and technology, the STEAM model that has been successfully employed in higher education. In a longitudinal school-based experiment, we enhanced the spatial skills of preadolescents through a STEAM-based educational programme. To design our methods of intervention in mathematics, visual arts, and information technology, we used the structure of spatial skills identified in previous studies. Developmental methods involved two- and three-dimensional visualisation tasks in real-life and virtual learning environments. We employed a pre- and post-hoc assessment design using a spatial ability task sequence standardised in Hungary that proved to be valid for assessing Slovak students as well. Authentic assessment tasks included real-life situations when visualisations of spatial relations were used for orientation and creation. Pre-test results showed significant differences between school classes: we identified high achievers and middle-to-low achievers. Our developmental programme was aimed at personalised talent development in the high-achieving classes and the general improvement of the performance of low achievers, raising insufficient pre-test results to an average post-test performance.","Szabó, Tibor;Babály, Bernadett;Pataiová, Helena;Kárpáti, Andrea","spatial skills , STEAM model , interdisciplinary education , longitudinal development","Coronavirus Research Database, Publicly Available Content Database",No,1. Space related,
Dynamic educational philosophy for learning technology management*,"Notions such as STEAM education, computational thinking, gamification, and the manipulation of ICT have appeared to configure what is known as Education 4.0. In the Latin American context and the economic, political, cultural, and social situation of the countries that make up this geographical space, it is worth asking to what extent Education 4.0, or some of its elements, have been implemented. Latin American educational systems reflect a minority number of countries that have assimilated the elements of this type of education; evidencing at present the intelligible relationship between economic development and educational model..","Centeno-Leyva, Sharon;Barreto, Arturo Barrutia",,"Coronavirus Research Database, Publicly Available Content Database, Sociological Abstracts",No,1. Space related,
Effective Makerspaces in STEAM Secondary Education: What Do the Professionals Think?,"Makerspaces have the potential to improve the learning outcomes of students in both middle and high schools. They support science, technology, engineering, arts, and mathematics (STEAM) style initiatives, as well as promote natural creativity among students who tend to struggle in expressing it. This study aims to gain significant insight from professionals who are involved in the Makerspaces movement within STEAM secondary education. The findings of the study highlight the critical strategies, effects, and issues behind the implementation of Makerspaces in support of STEAM education at secondary schools. These findings suggest that, for instance, Makerspaces provide students who struggle with school with a means to demonstrate their true knowledge in a way that appeals to them. In addition, in order to utilize Makerspaces properly and effectively, secondary school teachers need professional development experiences that are specific to their needs.","Lee, Cheun-Yeong;Peng, Li-Wei;Klemm, Anastasia","Junior High Schools , Middle Schools , Secondary Education , High Schools",ERIC,No,1. Space related,
Elementary Students' STEAM Perceptions: Extending Frames of Reference through Transformative Learning Experiences,"The inclusion of the arts into science, technology, engineering, the arts, and mathematics (STEAM) has recently gained much national attention. The purpose of this qualitative study was to conduct a thematic analysis of student STEAM survey open responses to provide the field with an examination of grades 3-5 elementary students' perceptions of their STEAM learning experiences. Grounded in transformative learning theory, a systematic and iterative thematic analysis of 1,572 student-written open responses to six prompts by 262 student participants revealed three primary themes: (1) extent of identification of science and mathematics learning in STEAM; (2) STEAM progression of activities, authentic problems, and empathetic problem solving; and (3) the presence of metacognition in STEAM. Our findings revealed that students' STEAM perceptions provide strong support for STEAM learning experiences as a space for implementing the instructional practices important and central to reform efforts in science and mathematics education in the elementary grades.","Bush, Sarah B.;Cook, Kristin L.;Edelen, Daniel;Cox, Richard, Jr.","Elementary Education , Early Childhood Education , Grade 3 , Primary Education , Grade 4 , Intermediate Grades , Grade 5 , Middle Schools",ERIC,No,"3. Regarding one single project (thus not methods, or lit reviews)",
Evaluation of Blended Teaching in STEAM Education Using Structural Equation Model Questionnaire Technology,"Science-technology-engineering-arts-mathematics (STEAM) education is an interdisciplinary education model that breaks the barriers between disciplines and comprehensively cultivates the problem-solving ability of students. Online education has been increasingly recognized by learners by virtue of its unlimited time and space, repeatability, and rich teaching resources. Based on the concept of STEAM education, the blended teaching model integrates the advantages of traditional teaching and online education, sustainably innovating classroom teaching and exerting a far-reaching effect on the current education and teaching reform. In this study, the related questionnaires regarding the evaluation of blended teaching effect under the perspective of the STEAM concept were combed, and questionnaire measurement questions with regard to the evaluation of blended teaching effect were then designed. The effects of online-offline teaching environment, online teaching resource, and offline teaching process in blended teaching on the learning satisfaction of college students were measured via the Structural Equation Model (SEM) questionnaire technology. Results show that the overall Cronbach's α coefficient of this questionnaire is 0.796, and the KMO value is 0.828, which is greater than 0.8, indicating the excellent reliability and validity of the questionnaire. Under the blended teaching model, the online-offline teaching environment and offline teaching process generate significantly positive effects on learning satisfaction. Online teaching resources exhibit a positive, yet insignificant, promoting effect on learning satisfaction. The study results are of important reference values for understanding and analyzing the online-offline interactions in blended teaching and identifying the main problems therein. Ultimately, the goal is to clarify the direction for improving blended teaching and designing blended teaching strategies that promote students' learning engagement, leading to practical interventions.","Cai, Jiayao","Science-technology-engineering-arts-mathematics , blended teaching , effect evaluation , Structural equation model","Coronavirus Research Database, Publicly Available Content Database",No,2. Regarding one single project,
"EXPLORIA, STEAM Education at University Level as a New Way to Teach Engineering Mechanics in an Integrated Learning Process","The objective of our research is the implementation of STEAM (Science Technology Engineering Art Mathematics) learning in the bachelor of Engineering in industrial design and product development at CEU Cardenal Herrera University through the EXPLORIA project. This article implements and develops the proposal for the first year of this bachelor, which includes 24 students aged 18–20. This article focuses on how to integrate STEAM learning within the EXPLORIA project for the improvement in the learning of the physics subject, and in particular, regarding the part of the syllabus related to mechanical engineering through different projects, challenges and milestones that allow the student to see the use in the design and development of products. The EXPLORIA project connects the competencies of the different STEAM subjects included in the bachelor, designing a learning process as a logical, sequential and incremental itinerary. Through concepts on which the fundamentals of design are based: shape, volume, color, space and structure. In particular, this article shows the adaptation made in the physical part to be able to teach the integrated mechanics part in this learning process. The complete learning was carried out through several challenges and two milestones the students had to overcome through the application of the physical knowledge learned in class. To validate the effectiveness of the proposed methodology, at the end of the paper, an ad hoc questionnaire is carried out showing the students’ assessment regarding the new teaching methodology.","Montés, Nicolás;Aloy, Paula;Ferrer, Teresa;Romero, Pantaleon D;Barquero, Sara;Alfonso Martinez Carbonell","STEAM , active methodologies , project based learning , challenge-based learning",Publicly Available Content Database,No,"3. Regarding one single project (thus not methods, or lit reviews)",
GeoGebra e situações que envolvem modelação numa abordagem STEAM,"In order to implement a STEAM approach including the use of technology, namely the use of interactive mathematics software GeoGebra, in mathematics classes, in the lusophone space, the materials presented here were conceived, to be implemented in a first phase among teachers. Later, with the necessary adaptations, these tasks will be applied to the students. The tasks deal with modeling situations, in two- and three-dimensional geometric problems, in order to apply GeoGebra software in its analysis to illustrate its capabilities. The different windows of this software are used, namely the 2D and 3D windows, CAS window, spreadsheet and extra two dimensional windows in order to study cutting planes in solids and some surfaces. The tasks are presented so that any user, regardless of the degree of knowledge they have of the software, can follow them, being supported in scripts with some indications of the tools and commands to use. Designed for the teaching and learning of Mathematics, from a STEAM approach, these tasks allow connections with other Sciences and the Arts, and allow the development of projects using and consolidating relevant mathematical contents. These tasks are part of the proposals of activities of the participants of the Training Courses for Trainers in GeoGebra for Portuguese Speaking Countries, which from 2019 have an impact on the STEAM approach. These courses are carried out with the high sponsorship of the Organization of Ibero-American States for Education, Science and Culture (OEI). Given the interest that the tasks have for the users of the Iberian space, as well as their dissemination at a global level, the materials initially developed in Portuguese language will be adapted for Spanish and English speakers.","J M D S Dos Santos;Silveira, A P;Trocado, A E S","History and Overview , Computers and Society",Publicly Available Content Database,No,1. Space related,
Give Plants an Inch; They'll Take a Yard,"When students see mathematics as an integrated field of study, they make connections, gain a deeper understanding of mathematical concepts, and see mathematics as a whole rather than disconnected, unrelated ideas. Measurement concepts are the perfect ""seed to plant"" to show how different mathematical strands integrate within other subject areas. The integrated activity shared here allowed middle school students to engage with measurement concepts and see the application of perimeter and area in a real-world scenario. Additionally, this activity allowed students to engage in spatial reasoning by measuring a physical space and rendering a scaled drawing to plan a school garden. Integrating these types of activities helps students relate physical spaces to mental models, thereby improving their spatial reasoning. The authors integrated the arts and cultivated conceptual understanding of measurement and STEAM (science, technology, engineering, art, and mathematics) subjects by asking the students to create a scale drawing or map of a garden.","Vela, Katherine N.;Parslow, Michelle;Hagevik, Rita;Trundle, Kathy Cabe","Teachers , Junior High Schools , Middle Schools , Secondary Education",ERIC,No,1. Space related,
