Title,Abstract,Authors,digitalObjectIdentifier,research tool
Integrating Arts with STEM to Foster Systems Thinking,"Interest is growing among out-of-school time (OST) educators in integrating the arts into STEM (science, technology, engineering, and mathematics) programming (e.g., Kelton &amp; Saraniero, 2018). Arts-integrated STEM--or STEAM--programming now takes place in a wide variety of OST environments, from relatively institutional learning settings, such as a library, to emergent or fluid settings, such as a pop-up program in a housing development community room. Educators often consider OST environments to be conducive to creative and conceptually ambitious STEAM programming because these spaces have the potential to deconstruct rigid boundaries between disciplines that formal education often reinforces. In this article, the authors discuss an OST STEAM program titled Zoom! that they designed and implemented in a summer camp in July 2019. Zoom! used visual arts strategies to support elementary-aged children in thinking about and communicating systems-level ideas related to the human microbiome--the community of single-celled organisms that live on and inside the human body.","Grace, Elizabeth;Kelton, Molly L.;Owen, Jeb P.;Diaz Martinez, AnaMaria;White, Alison;Danielson, Robert W.;Butterfield, Patricia;Fallon, Michaela;Schafer Medina, Georgia",,ProQuest
The Emerging Critical Pedagogies of Dance Educators in an Urban STEAM After-School Program for Black Girls,"The preparation of urban educators has gained widespread attention across education policy, research, and practice. As US urban cities have become more diverse, the teacher workforce has not kept up, and the racial/ethnic demographics of students and teachers are disproportionately incongruent. In order to eradicate an education landscape that perpetuates white, middle-class ways of knowing and being, often at the expense of the cultural practices and cultural wealth of historically marginalized students of color, urban teacher education must be centered toward justice and rooted in critical pedagogies. The literature, albeit bleak, reveals that these perspectives must also be applied to urban dance education. Dance education programs have been significantly eliminated from urban schools over time, and although dance has historical roots in African and African diasporic cultures, dance education continues to be Eurocentric. This phenomenological case study examines the emerging critical pedagogies of undergraduate dance majors and minors who served as dance teachers in an urban Science, Technology, Engineering, Arts, and Mathematics (STEAM) after-school program for 7-12-year-old Black girls. Findings reveal that (a) navigating race, place, and space; (b) mentorship and practice; and (c) critical reflection and self-efficacy were critical components of the urban dance educators' emerging critical pedagogies. Implications for urban dance education and the broader field of urban education are provided.","Allen-Handy, Ayana;Ifill, Valerie;Schaar, Raja Y.;Woodard, Monique;Rogers, Michelle",,ProQuest
A Pandemic as the Mother of Invention? Collegial Online Collaboration to Cope with the COVID-19 Pandemic,"This article aims to present how music teachers in Sweden used the facebook group ""Musiklärarna"" in the first two months of the COVID-19 pandemic (March and April, 2020) to cope with challenges related to teaching music. The study is based on Biesta's perspective on the teacher profession. With the consent of the participants, we have analysed the 303 posts (and their comments) that directly addressed the COVID-19 situation during that period. We found that the group works as an important collegial forum and that the teachers pragmatically use the group to solve educational problems; further, the posts concerning work-conditions get the most engagement. The most frequent types of posts concerned how to design teaching situations under the new conditions. Specifically, ""asking questions,"" ""sharing material,"" ""asking for material"" and ""letting off steam"" were the most common types. Music teachers seem to be loyal, collegial and intent on solving any challenge to facilitate students' learning as regulated in the syllabus. We hope this article can motivate other researchers to perform similar studies or build on our results. We conclude by speculating about what the new normal will be for music teachers when the pandemic is over.","Thorgersen, Ketil A.;Mars, Annette",10.1080/14613808.2021.1906216,ProQuest
"Making on the Move: Mobility, Makerspaces, and Art Education","Combining the excitement from the maker movement and the novel creation of deployable makerspaces, we review the development of the Mobile Atelier for Kinaesthetic Education (MAKE) 3D. MAKE 3D is a mobile makerspace platform that can be deployed anywhere there is electricity to create a curricular spectacle of digital fabrication in particular additive manufacturing or what is more commonly referred to as 3D printing. Our project combines this notion of curricular spectacle and a mobile makerspace platform, to develop strategies in how to meet the novice user almost anywhere and to entice them into a series of hands-on activities that would give them a range of knowledge and aptitude for additive techniques in digital fabrication. We review the component parts of our Material to Form curriculum and explore thematic connections between the maker movement and art education including STEAM and interdisciplinarity; design thinking and kinaesthetic learning; and place-based education and the mobile platform. Informal practices in art education and the mobile makerspace advances forms of place and kinaesthetic learning. Similar curricular setups are therefore encouraged to reinforce and expand prior knowledge, broaden participation and provide an adaptable learning space for STEAM initiatives.","Jordan, Alvaro;Knochel, Aaron D.;Meisel, Nicholas;Reiger, Kelsey;Sinha, Swapnil",10.1111/jade.12333,ProQuest
STEAM-Learning to Mars: Students' Ideas of Space Research,"Multidisciplinarity and the enrichment of science and mathematics education toward the so-called STEAM-approach where the A stands for art, has raised a lot of academic interest in the past decade. In this study, 5th and 6th graders from the greater Helsinki area (N = 390) participated in a several months long, Mars-colonization themed STEAM-learning intervention. Testing the students' science knowledge using pre- and post-tests, their learning outcomes were compared to those of 5th and 6th graders from a control school (N = 119), who during the same period studied STEM-subjects in a more traditional manner. The main factors that were taken into account during the comparisons were gender and academic achievement level. Based on only whether there was any improvement between the pre- and post-test scores, girls were found to have benefitted from the Mars-module more than boys did. While also considering the magnitude of the said improvement, no significant difference in the effectiveness of the learning module was found between genders. The group of academically highest-achieving students improved their test scores the most after participating in the STEAM-learning module. This is an important, somewhat surprising finding, as often informal, outside of school learning has been found to benefit especially students with lower grade point averages.","Piila, Erna;Salmi, Hannu;Thuneberg, Helena",,ProQuest
Simulation and Evaluation of Heat Transfer Inside a Diseased Citrus Tree during Heat Treatment,"Heat treatment has been applied in previous studies to treat diseased plants and trees affected by heat-sensitive pathogens. Huanglongbing (HLB) is a heat-sensitive pathogen and the optimal temperature–time for treating HLB-affected citrus trees was estimated to be 54 °C for 60 to 120 s from indoor experimental studies. However, utilizing this method in orchards is difficult due to technical difficulties to effectively apply heat. Recently, a mobile thermotherapy system (MTS) was developed to in-field treat HLB-affected trees. This mobile device includes a canopy cover that covers the diseased tree and a system to supply steam under the cover to treat the tree. It was proven that the temperature inside the canopy cover can reach the desired one (i.e., 54 °C) to kill bacteria. However, for HLB, the heat should penetrate the tree’s phloem where the bacteria live. Therefore, measuring the heat penetration inside the tree is very critical to evaluate the performance of the MTS. In this study, a heat transfer model was developed to simulate the heat penetration inside the tree and predict the temperature in the phloem of the diseased tree during the in-field heat treatment. The simulation results were compared with in-field experimental measurements. The heat transfer model was developed by a comparative analysis of the experimental data using the ANSYS software. Results showed that the temperature in the phloem was 10–40% lower than the temperature near the surface of the bark. Simulation results were consistent with experimental results, with an average relative error of less than 5%.","Ghatrehsamani, Shirin;Ampatzidis, Yiannis;Schueller, John K;Ehsani, Reza",10.3390/agriengineering3010002,ProQuest
STEAM-Learning to Mars: Students’ Ideas of Space Research,"Multidisciplinarity and the enrichment of science and mathematics education toward the so-called STEAM-approach where the A stands for art, has raised a lot of academic interest in the past decade. In this study, 5th and 6th graders from the greater Helsinki area ( N = 390) participated in a several months long, Mars-colonization themed STEAM-learning intervention. Testing the students’ science knowledge using pre- and post-tests, their learning outcomes were compared to those of 5th and 6th graders from a control school ( N = 119), who during the same period studied STEM-subjects in a more traditional manner. The main factors that were taken into account during the comparisons were gender and academic achievement level. Based on only whether there was any improvement between the pre- and post-test scores, girls were found to have benefitted from the Mars-module more than boys did. While also considering the magnitude of the said improvement, no significant difference in the effectiveness of the learning module was found between genders. The group of academically highest-achieving students improved their test scores the most after participating in the STEAM-learning module. This is an important, somewhat surprising finding, as often informal, outside of school learning has been found to benefit especially students with lower grade point averages.",,10.3390/educsci11030122,ProQuest
Advances in Solar‐Driven Hygroscopic Water Harvesting,"Water scarcity is one of the greatest global challenges at this time. Significant efforts have been made to harvest water from the air, due to widely available water sources present in the atmosphere. Particularly, solar‐driven hygroscopic water harvesting based on the adsorption–desorption process has gained tremendous attention because of the abundance of solar energy in combination with substantial improvements in conversion efficiency enabled by advanced sorbents, improved photothermal materials, interfacial heating system designs, and thermal management in recent years. Here, recent developments in atmospheric water harvesting are discussed, with a focus on solar‐driven hygroscopic water harvesting. The diverse structural designs and engineering strategies that are being used to improve the rate of the water production, including the design principles for sorbents with high adsorption capacity, high‐efficiency light‐to‐heat conversion, optimization of thermal management, vapor condensation, and water collection, are also explored. The current challenges and future research opportunities are also discussed, providing a roadmap for the future development of solar‐driven hygroscopic water harvesting technology.","Zhuang, Shendong;Qi, Heshan;Wang, Xueyang;Li, Xiuqiang;Liu, Kai;Liu, Jun;Zhang, Han",10.1002/gch2.202000085,ProQuest
Architectural and planning principles of STEAM-space organization,"The article discusses the issue of organizing the educational space for the implementation of STEAM technology. The purpose of the article is to reveal the features of STEAM learning and to formulate the principles of organizing the learning space for this type of learning. On the topic of the research, a brief overview of the implemented architectural projects of educational spaces using STEAM technology was carried out. As a result, the authors identified architectural and planning features and principles of organizing spaces for STEAM training and created a model of an art and technology lyceum using the obtained principles for organizing a block of informatics and 3D modelling.","Morozova, O V;Dukhanina, E S",10.1088/1757-899X/944/1/012008,ProQuest
"Celestial calendar-paintings and culture-based digital storytelling: cross-cultural, interdisciplinary, STEM/STEAM resources for authentic astronomy education engagement","In D(L)akota star knowledge, the Sun is known as Wi and the Moon is Han-Wi. They have an important relationship, husband and wife. The pattern of their ever-changing relationship is mirrored in the motions of Sun and Moon as seen from our backyards, also called the lunar phases. The framework of the cultural teaching is storytelling and relationships. Cultural perspectives in astronomy such as this remind us of how indigenous ways of knowing are rooted in inclusion, engagement, and relevancy. Designed by A. Lee in 2007, the Native Skywatchers initiative seeks to remember and revitalize indigenous star and earth knowledge, promoting the native voice as the lead voice. The overarching goal of Native Skywatchers is to communicate the knowledge that indigenous people traditionally practiced a sustainable way of living and sustainable engineering through a living and participatory relationship with the above and below, sky and earth. In 2012 two indigenous star maps were created: the Ojibwe Giizhig Anung Masinaaigan-Ojibwe Sky Star Map (A. Lee, W. Wilson, C. Gawboy), and the D(L)akota star map, Makoce Wicanhpi Wowapi (A. Lee, J. Rock). In 2016, a collaboration with W. Buck of the Manitoba First Nations Resource Centre (MFNRC), produced a third star map: Ininew Achakos Masinikan-Cree Star Map Book. We aim to improve current inequities in education for native young people especially through STEM engagement, to inspire increased cultural pride, and promote community wellness. Presented here will be recently created resources such as: astronomical calendar-paintings and short videos that exist at the intersection of art-science-culture. As we look for sustainable ways to widen participation in STEM, particularly in astronomy education, part of the conversation needs to consider the place for art and culture in STEM.","Lee, Annette S;Wilson, William;Tibbetts, Jeff;Gawboy, Carl;Meyer, Anne;Buck, Wilfred;Knutson-Kolodzne, Jim;Pantalony, David",,ProQuest
Astro-animation: A case study of art and science education,"Art and science are different ways of exploring the world, but together they have the potential to be thought-provoking, facilitate a science–society dialogue, raise public awareness of science and develop an understanding of art. For several years, we have been teaching an astro-animation class at the Maryland Institute College of Art as a collaboration between students and NASA scientists. Working in small groups, the students create short animations based on the research of the scientists who are going to follow the projects as mentors. By creating these animations, students bring the power of their imagination to see the research of the scientists through a different lens. Astro-animation is an undergraduate-level course jointly taught by an astrophysicist and an animator. In this article, we present the motivation behind the class, describe the details of how it is carried out and discuss the interactions between artists and scientists. We describe how such a programme offers an effective way for art students, not only to learn about science but to have a glimpse of ‘science in action’. The students have the opportunity to become involved in the process of science as artists, as observers first and potentially through their own art research. Every year, one or more internships at NASA Goddard Space Flight Center have been available for our students in the summer. Two students describe their experiences undertaking these internships and how science affects their creation of animations for this programme and in general. We also explain the genesis of our astro-animation programme, how it is taught in our animation department and we present the highlights of an investigation of the effectiveness of this programme we carried out with the support of an NEA research grant. In conclusion, we discuss how the programme may grow in new directions, such as contributing to informal STE(A)M learning.",[AUTHOR]Arcadias Laurence[/AUTHOR][ORCID]0000-0002-5062-0238[/ORCID][AUTHOR]Corbet Robin H. D.[/AUTHOR][ORCID]0000-0002-3396-651X[/ORCID][AUTHOR]McKenna Declan[/AUTHOR][ORCID]0000-0003-3822-0845[/ORCID][AUTHOR]Potenziani Isabella[/AUTHOR][ORCID]0000-0001-9512-8127[/ORCID],10.1386/ap3_000018_1,ProQuest
Reduced Graphene Oxide–Based Spectrally Selective Absorber with an Extremely Low Thermal Emittance and High Solar Absorptance,"Carbon‐based black materials exhibit strong solar absorptance (α solar &gt;0.90), which play key roles in transforming solar energy into available power for solar‐thermal, thermophotovoltaic, thermoelectric, and many other systems. However, because of high thermal emittance (&gt;95%), these carbon‐based materials always cause huge energy loss that hinders the solar‐thermal conversion efficiency tremendously. In this study, a reduced graphene oxide–based spectrally selective absorber (rGO‐SSA) is demonstrated, which possesses a recorded low thermal emittance (≈4%) and high solar absorptance (α solar ≈ 0.92) by easily regulating the reduction level of inner 2D graphene sheets. Compared to conventional carbon‐based black materials, thermal emittance of this rGO‐SSA is largely reduced by ≈95.8% and the cutoff wavelength of rGO‐SSA is broadband‐tunable that can range from 1.1 to 3.2 µm. More importantly, this simply sol‐gel coated rGO‐SSA has high temperature tolerance at 800 °C for 96 h that is hardly achieved by other cermet‐based or photonic‐based SSAs. Based on this rGO‐SSA, ultrafast solar steam escape (0.94 mg cm −2 s −1 ) under concentrated solar irradiance is achieved directly. The insight from this study will provide a new strategy for constructing thermally stable carbon‐based SSAs and greatly facilitate the solar‐thermal practical significance.","Liao, Qihua;Zhang, Panpan;Houze Yao;Cheng, Huhu;Li, Chun;Qu, Liangti",10.1002/advs.201903125,ProQuest
Reduced Graphene Oxide–Based Spectrally Selective Absorber with an Extremely Low Thermal Emittance and High Solar Absorptance,"Carbon‐based black materials exhibit strong solar absorptance (α solar &gt;0.90), which play key roles in transforming solar energy into available power for solar‐thermal, thermophotovoltaic, thermoelectric, and many other systems. However, because of high thermal emittance (&gt;95%), these carbon‐based materials always cause huge energy loss that hinders the solar‐thermal conversion efficiency tremendously. In this study, a reduced graphene oxide–based spectrally selective absorber (rGO‐SSA) is demonstrated, which possesses a recorded low thermal emittance (≈4%) and high solar absorptance (α solar ≈ 0.92) by easily regulating the reduction level of inner 2D graphene sheets. Compared to conventional carbon‐based black materials, thermal emittance of this rGO‐SSA is largely reduced by ≈95.8% and the cutoff wavelength of rGO‐SSA is broadband‐tunable that can range from 1.1 to 3.2 µm. More importantly, this simply sol‐gel coated rGO‐SSA has high temperature tolerance at 800 °C for 96 h that is hardly achieved by other cermet‐based or photonic‐based SSAs. Based on this rGO‐SSA, ultrafast solar steam escape (0.94 mg cm −2 s −1 ) under concentrated solar irradiance is achieved directly. The insight from this study will provide a new strategy for constructing thermally stable carbon‐based SSAs and greatly facilitate the solar‐thermal practical significance.","Liao, Qihua;Zhang, Panpan;Houze Yao;Cheng, Huhu;Li, Chun;Qu, Liangti",,ProQuest
Dynamic characteristics of a solar‐aided coal‐fired power generation system under direct normal irradiance (DNI) feedforward control,"A solar‐aided coal‐fired power generation (SAPG) system is a new type of power generation system in the field of solar thermal power generation. However, the instability of solar radiation will cause fluctuations in steam temperature, which is unfavorable for the operation of boilers and steam turbines. Based on a 600&#xa0;MW subcritical coal‐fired power generation unit, TRNSYS software is applied to establish a transient simulation model of SAPG in this paper. A dynamic feedforward control system for steam temperature is set up. Some essential parameters, such as the fuel consumption rate, solar‐heated steam extraction rate, water spraying flow rate, and flue gas damper opening, are under the control of direct normal irradiance (DNI). Then, the dynamic characteristics of SAPG are analyzed using typical weather data. The simulation results show that under the fuel‐saving mode, when solar irradiation changes, the SAPG system achieves a coal reduction of 4.9% by using the steam temperature control system with DNI feedforward control, and the main steam temperature fluctuation is less than 5°C with the reheat steam temperature reduced within a reasonable range. The power generation fluctuation is less than 10&#xa0;MW, and the solar‐to‐electricity efficiency reaches 22.5%. Some parameters on both the flue gas side and the water/steam side in the utility boiler are simulated to demonstrate the effectiveness of DNI control.","Pang, Liping;Lv, Peixin;Duan, Liqiang;Yang, Yongping",10.1002/ese3.592,ProQuest
Effectiveness of Maltodextrin as a Coating in Microencapsulation of Clove Leaves Oil (<i>Syzygium aromaticum</i>) for Antibacterial Applications,"Clove leaves oil is potential oil used as antibacterial such as Escherichia coli . However, clove leaves oil has several disadvantages, including being easily oxidized and volatile. In order to overcome this problem a microencapsulation process is carried out. The purpose of this study was to test the ability of clove leaves oil and the results of microencapsulation as an antibacterial E. coli. Clove leaves oil was isolated using water-steam distillation. Furthermore, the obtained essential oil was microcapsulated by spray-drying method. Microencapsulation results were characterized using SEM (Scanning Electron Microscope) to determine the morphology of the produced material. The SEM results indicate that the resulting microcapsules are rounded shape, which shows that the formed microcapsules have not fully developed. The results of the activity test by using clove leaves oil as an antibacterial E. coli denoted a inhibitory zone diameter was 15.2 mm, while the oil was microencapsulated with a coating ratio of 1:4, 1:6, 1:8, 1:10, 1:12 produces inhibitory zones 9.9; 11.3; 12.9; 14.8 and 17.5 mm, respectively. Results of statistical tests indicate that antibacterial activity of clove leaves oil is 100 % significantly different from the comparative microencapsulation activity 1:4 with t value = 11.30&gt;t tab = 9.93. Ratio microcapsul 1:6; 1:8; 1:10 and 1:12 having activities that were no different from clove leaves oil 100% and were showed by t value 8.65; 4.25; 0.76; 2.62, respectively &lt; t tab = 9.93 on the confidence level α = 0,01; df =2. Thus it can be stated that minimum ratio of maltodextrin to clove leaves oil that can be used as a coating is a microcapsule ratio of 1: 6.","Nurliana, L;Kurniawati, D;LA Kadir;Dewi, F;Musta, R;Nurjana",10.1088/1755-1315/465/1/012040,ProQuest
The Rise of 2D Photothermal Materials beyond Graphene for Clean Water Production,"Water shortage is one of the most concerning global challenges in the 21st century. Solar‐inspired vaporization employing photothermal nanomaterials is considered to be a feasible and green technology for addressing the water challenge by virtue of abundant and clean solar energy. 2D nanomaterials aroused considerable attention in photothermal evaporation‐induced water production owing to their large absorption surface, strong absorption in broadband solar spectrum, and efficient photothermal conversion. Herein, the recent progress of 2D nanomaterials‐based photothermal evaporation, mainly including emerging Xenes (phosphorene, antimonene, tellurene, and borophene) and binary‐enes (MXenes and transition metal dichalcogenides), is reviewed. Then, the optimization strategies for higher evaporation performance are summarized in terms of modulation of the intrinsic photothermal performance of 2D nanomaterials and design of the complete evaporation system. Finally, the challenges and prospective of various kinds of 2D photothermal nanomaterials are discussed in terms of the photothermal performance, stability, environmental influence, and cost. One important principle is that solutions for water challenges should not introduce new environmental and social problems. This Review aims to highlight the role of 2D photothermal nanomaterials in solving water challenges and provides a viable scheme toward the practical use in photothermal materials selection, design, and evaporation systems building.","Xie, Zhongjian;Yanhong Duo;Lin, Zhitao;Fan, Taojian;Xing, Chenyang;Li, Yu;Wang, Renheng;Qiu, Meng;Zhang, Yupeng;Zhao, Yonghua;Yan, Xiaobing;Zhang, Han",,ProQuest
Optimizing the preparation of Ni‐Ce‐Pr catalysts for efficient hydrogen production by n‐dodecane steam reforming,"Nowadays, the development of fuel cell is getting more and more inseparable from the production of hydrogen. Long‐chain hydrocarbons steam reforming is a feasible way for hydrogen supply. Herein, various nickel‐ceria‐praseodymium (Ni‐Ce‐Pr) catalysts have been prepared by a sol‐gel method. Multiple parameters during catalyst preparation, including the amount of Ni, the content of doped Pr and the calcination temperature, were systematically studied for tuning the catalytic performance for n ‐dodecane steam reforming in a fixed‐bed reactor under 15 mL/g cat ·h at 600°C and water‐to‐carbon molar ratio of 2 at 0.1 MPa. Reaction data showed that both the amount of Ni and the content of doped Pr will greatly affect the n ‐dodecane conversion and hydrogen production. Additionally, the calcination temperature during catalyst preparation showed a big influence on its performance for n ‐dodecane steam reforming. After optimization, 10Ni‐CePr 2 ‐600 exhibits the highest activity and stability for n ‐dodecane steam reforming, accompanying with the lowest rate of coke deposition (0.015 g c /g cat ·h). The structure and oxygen vacancy of the catalyst was characterized by H 2 ‐TPR, Raman, and X‐ray photoelectron spectroscopy (XPS). The superior activity and stability of 10Ni‐CePr 2 ‐600 are ascribed to the strong interaction between NiO and support along with abundant oxygen vacancies in the Pr‐doped ceria.","Xiao, Zhourong;Zhang, Xiangwen;Wang, Li;Li, Guozhu",10.1002/er.5029,ProQuest
Reviving the William Liddell Damask Design Collection,"The William Liddell archive is a collection of over 1600 glass photographic plates recovered from the premises of the abandoned Ewart-Liddell weaving factory in Donaghcloney, County Down, Northern Ireland. The salvaged collection was donated to the Belfast School of Art in 2007; however, the condition was so fragile that they have not been able to be accessed or used. Heritage Lottery Funding was secured in 2017 to make this unique archive accessible to the public and to support a series of local road shows culminating in an exhibition in Autumn 2018 in the Linen Centre, Lisburn Museum. This paper reports on preliminary findings after the careful digitization and cataloguing of each plate. The plates appear to have been kept as a record of the working methods of designers and technical draughtsmen and draughtswomen in the company dating from the early twentieth century to 1970s. The sketches, designs, and technical drawings recorded were used for the production of Jacquard Damask linen for tableware, bed linen and furnishings. The collection evidences a tantalizing clientele that was worldwide. William Liddell produced high quality Damask linen products for clients across the globe, top hotels such as the Hilton, Savoy, Raffles and the Ritz; shipping lines such as Cunard, White Star, and the Union Steam Navigation Company of New Zealand; organizations such as the U.S. Navy, the Bohemian Club San Francisco, Canadian Coastguards and Claridges. The photographs document design specifications from Liddell's clients, early sketches, painted drawings, accurately hand-drafted designs and typography, point paper layouts, and proof cloths. It is extraordinary that this form of unique photographic record was kept and perhaps more astonishing that the observation of everyday affairs of a textile manufacturing design office were the subjects of such an extensive and persistent documentary endeavor. This paper reports on the preliminary findings of the study, the approaches used to classify and cross-reference the archive's content and outlines the present categories being used in terms of client markets, design influences, and stages of the Damask design process.","Dass, Barbara;Belford, Patricia",10.1080/20511787.2019.1598716,ProQuest
The Story of 13 Moons: Developing an Environmental Health and Sustainability Curriculum Founded on Indigenous First Foods and Technologies,"The Swinomish Indian Tribal Community developed an informal environmental health and sustainability (EHS) curriculum based on Swinomish beliefs and practices. EHS programs developed and implemented by Indigenous communities are extremely scarce. The mainstream view of EHS does not do justice to how many Indigenous peoples define EHS as reciprocal relationships between people, nonhuman beings, homelands, air, and waters. The curriculum provides an alternative informal educational platform for teaching science, technology, engineering, art, and mathematics (STEAM) using identification, harvest, and preparation activities of First Foods and medicines that are important to community members in order to increase awareness and understanding of local EHS issues. The curriculum, called 13 Moons, is founded on a set of guiding principles which may be useful for other Indigenous communities seeking to develop their own curricula.","Donatuto, Jamie;Campbell, Larry;LeCompte, Joyce K;Rohlman, Diana;Tadlock, Sonni",10.3390/su12218913,ProQuest
The STEAM Innovation Laboratory: Beyond the Makerspace Paradigm,"The NASA Goddard STEAM Innovation Laboratory is a Makerspace approach to bringing NASA's universe of knowledge into educational spaces around the country and to increase scientific literacy and interest in STEAM careers. Through a series of stations specializing in virtual reality, electronics, mobile sensors and 3-D fabrication, we have succeeded in impacting over 82,000 educators and students, along with 1.6 million social media participants. Our impact analysis reveals that participants gain a lasting knowledge of our STEAM content from this hands-on experience.","Cline, Troy;Odenwald, Sten;Davis, Hilarie;Stephenson, Bryan;Mirel, Paul;Boyer, Kyle;Sasser, Lani",,ProQuest
Cases on Models and Methods for STEAM Education. Advances in Educational Technologies and Instructional Design (AETID) Book Series,"STEAM education can be described in two ways. One model emphasizes the arts and is not as concerned about the accuracy of the STEM fields. In the second model, STEM content is the prevailing force with a focus on accuracy, and the arts are used in limited and secondary resources for the teaching of the content. However, in order to promote creative thinking, allow for higher student engagement, and offer a more well-rounded education, a STEAM model, where science, technology, engineering, arts, and mathematics are equal contributors to the process of learning, is needed. ""Cases on Models and Methods for STEAM Education"" is an important scholarly resource that provides inclusive models and case studies highlighting best techniques and practices for implementing STEAM models in teaching and assists teachers as they learn to use such methods through the inclusion of practical activities for use in the classroom. Highlighting a wide range of topics such as science education, fine arts, and teaching models, this book is essential for educators, administrators, curriculum developers, instructional designers, policymakers, academicians, researchers, and students. This book contains the following chapters: (1) Musing on Unanswered Questions (Meta Lee Van Sickle and Merrie Koester); (2) Graphic Novels and STEAM: Strategies and Texts for Utilization in STEAM Education -- Graphic Novels and STEAM (Alex Romagnoli); (3) High-Quality Trade Books and Content Areas: Planning Accordingly for Rich Instruction (Carolyn A. Groff); (4) Theater as the STEAM Engine for Engaging Those Previously Disengaged (Paul C. Jablon); (5) Exploring Simple Machines With Creative Movement (William Paul Lindquist, Martha James-Hassan, and Nathan C. Lindquist); (6) Getting to ""Know"" STEAM (Merrie Koester); (7) Tower Design, Build and Test as a STEAM Project: Tower Design, Build, and Test (Judith Bazler); (8) The Great Race: Using Air to Move Paper Airplanes and Balloon Rockets (Jena Valdiviezo and Letitia Graybill); (9) Bee Pollination (Kerry Carley Rizzuto, John Henning, and Catherine Duckett); (10) Cases on STEAM Education in Practice Catapults and History of Catapults (Warren James DiBiase, Judith R. McDonald, and Kellan Strong); (11) A Mathematical Approach to Designing Insulators (Kathryn Electa Pedings-Behling); (12) Engineering and Art: Putting the EA in STEAM (Sara B. Smith); (13) Developing and Applying the Law of Cosines: Using Star Maps as a Context (Vecihi S. Zambak and Budi Mulyono); (14) Using STEAM in Marine Science: Incorporating Graphic Design Into an Existing STEM Lesson (Callie Dollahon); (15) ""Imagioneering"" a New Mission: Space (Kyle Seiverd); and (16) Differentiating Instruction in the Forensics Classroom (Tracy L. Mulvaney and Kathryn L. Lubniewski).",,10.4018/978-1-5225-9631-8,ProQuest
Geothermal power generation in China: Status and prospects,"Geothermal resources provide green, low‐carbon, and renewable clean energy, with abundant reserves and massive potential for application. The in‐depth analysis of geothermal resources in China, including their distribution and breakdown by shallow, hydrothermal, and hot dry rock (HDR) resources, is made in this study. Using the recent economic reports and state‐of‐the‐art technological solutions, this survey outlines the latest trends in the geothermal power generation in China. The application of geothermal power generation in China is still at an early stage, with the total installed capacity of 27.78&#xa0;MW. The geothermal power generation technologies, such as dry steam technology, flash technology, binary cycle technology, and enhanced geothermal system (EGS), are briefly discussed and linked to their lucrative implementation sites. In particular, Tibet's Yangbajing is considered to be the most lucrative site for the EGS pilot project. The comparative analysis of low‐cost/large‐scale geothermal power generation technologies, such as low‐ to medium‐temperature one, solar‐geothermal hybrid one, and geothermal power generation in mines, was made, whose results strongly indicated the EGS technical and economical advantages. The concentration of 96% of China's population in the area to the east of Hu line affects the perspectives of high‐cost geothermal projects and has to be accounted in the comprehensive analysis of available data. Based on the revealed trends of geothermal resources’ development in China, the following guidelines are strongly recommended: comprehensive incorporation of geothermal energy generation into China's national energy and climate improvement plans, the rapid implementation of HDR technology, as well as comprehensive adaptation of the geothermal‐related projects to the local conditions/biased distribution of power consumers and state‐of‐the‐art challenges of power consumption.","Zhang, Lei;Chen, Shuai;Zhang, Cun",10.1002/ese3.365,ProQuest
Heat transfer in coiled type superheater of moisture separator-reheater of turbines at the nuclear power plant,The reheating part of the moisture separator-reheater (MSR) of nuclear power plant (NPP) steam turbine occupies a significant part of MSR volume and requires large consumption of metal. The superheating of low pressure steam provides by the high pressure steam condensation. This steam supplies partly from turbine inlet and partly from turbine stage bleeding because of two superheater stages. The significantly less heat transfer intensity at the single-phase side of reheater comparatively with condensation side requires intensification of heat transfer from the heated-steam. For such goal the different methods can be used: for instance the cross flow of the coiled tubes and finning of straight tubes bundles. Also is perspective the usage of artificial roughness in form of small “moons” and other types of artificial roughnesses.,"Egorov, Mikle;Kalyutik, A A;Akhmetova, I G;SO Makoev",10.1088/1755-1315/288/1/012080,ProQuest
