Keyword,use
significant difference,No
simple,No
situation motivation,No
situational interest,No
situational motivation,No
sky imaging,No
small groups,No
smartphone,No
so-called steam-approach,No
society dialogue,No
software application,No
solar systems,No
sounding,No
space,No
space-based satellite data,No
space-derivedactivities,No
speakers,No
specifically,No
spectators,No
ssa,No
ssa project,No
stands,No
star map,No
state-of-the-art digitalplatforms,No
steam,No
steam activity,No
steam disciplines,No
steam lessons,No
steam method,No
steam pedagogies encourages complexity,No
steam science exhibition context,No
steam-based learning module,No
steam-based space-themed learning module,No
steam-education,No
steam-learning module,No
stem,No
stem + arts,No
stem concepts,No
stem engagement,No
stepping stone,No
steps,No
storytelling,No
streamed live,No
structural equation modelling,No
student,No
students,No
students bring,No
students built,No
students calculated,No
students create short animations based,No
students describe,No
study,No
study aimed,No
study provided evidence,No
successfully change,No
successfully retain knowledge,No
suggest teaching activities involving,No
suggested,No
summer,No
sunspaceart,No
superficial situational motivation,No
support,No
surprising finding,No
sustainable,No
sustainable engineering,No
sustainable ways,No
sustained level,No
sustainment,No
syllabus designers,No
systematic path,No
systematicapproach,No
systems engineering,No
systems engineering curriculum,No
systemsengineering process shares lots,No
taking,No
targeted,No
taught,No
teach,No
teacher,No
teachers,No
teaching,No
teaching lessons,No
teams,No
techinical subject matter experts collaborate,No
technical parameters,No
technique,No
technology,No
test scores,No
testing,No
texas,No
thedevelopment process,No
thelearning outcomes,No
thelife experiences,No
thought connecting,No
thought-provoking,No
tim,No
tool,No
traditional education,No
traditional lecture-based approach,No
traditional manner,No
train,No
travel,No
tree height data,No
tripods,No
turkiye,No
ubiquity,No
undergraduate-level,No
understanding,No
undertaken,No
unified k-20 vision,No
unifying,No
unique event provided considerable insight,No
unit,No
united states,No
universe,No
university,No
utilizes,No
validation,No
variables,No
venues,No
verification,No
video link,No
visits,No
visual art,No
visual artists,No
visual arts,No
visualisation,No
volunteers,No
volunteers measure tree height,No
ways,No
web 2,No
weeks,No
wi,No
widen participation,No
wife,No
wilson,No
work,No
working,No
workshops,No
world,No
year,No
year 9,No
years,No
‘science,No
•,No
action,No
airborne lidar tree height measurements,No
art,No
astro-animation,No
authentic astronomy education engagement,No
case study,No
celestial calendar-paintings,No
choreographing,No
citizen science data,No
complement satellite,No
creativity,No
cross-cultural,No
culture-based digital storytelling,No
deep learning,No
educate utilizing cubesat experience,No
experimental study,No
globe program,No
ideas,No
implementation,No
inquiry-based out-of-school setting,No
interdisciplinary,No
lessons,No
live contact,No
low-cost astrophotography,No
phases,No
planetarium,No
potential,No
school,No
science,No
science education,No
smartphone,No
steam,No
steam education,No
steam-based learning module,No
steam-learning,No
stem/steam resources,No
students,No
title,No
unified k-20 vision,No
world,No
Elementary Education,No
Grade 5,No
Higher Education,No
History and Philosophy of Physics,No
Intermediate Grades,No
Middle Schools,No
NASA GLOBE Observer,No
Physics Education,No
Physics and Society,No
Poland,No
Postsecondary Education,No
STEAM,No
STEM,No
Secondary Education,No
Teachers,No
The GLOBE Program,No
United Kingdom,No
animation,No
carbon storage,No
citizen science,No
education,No
informal learning,No
science education,No
transversal competencies,No
tree height,No
aerospace,Yes
astro-animation,Yes
astronomical calendar-paintings,Yes
astronomy,Yes
astrophotography,Yes
astrophysicist,Yes
cansats,Yes
celestial objects,Yes
cubesats,Yes
european space agency,Yes
icesat-2,Yes
indigenous star maps,Yes
international space station,Yes
involving astronomical subjects,Yes
land elevation satellite-2,Yes
lunar phases,Yes
mars,Yes
moon,Yes
nasa,Yes
night sky,Yes
physics,Yes
planetarium,Yes
planets,Yes
revitalize indigenous star,Yes
satellite-based data collections,Yes
sky,Yes
solar scientist,Yes
space camps,Yes
space-related activities,Yes
stars,Yes
sun,Yes
telescopes,Yes
uk space agency,Yes
international space station,Yes
mars,Yes
moon,Yes
space research,Yes
ICESat-2,Yes
astro-animation,Yes
astronomy,Yes
action,
